v2_mori1motif;motifs
1,1;Aller au domicile
1,2;Retour à la résidence occasionnelle
1,3;Retour au domicile de parents (hors ménage) ou d'amis
1,11;Etudier (école, lycée, université)
1,12;Faire garder un enfant en bas âge (nourrice, crèche, famille)
2;ACHATS
2,2;Se rendre dans une grande surface ou un centre commercial (y compris boutiques et services)
2,21;Se rendre dans un commerce de proximit., petit commerce, supérette, boutique, services (banque,cordonnier...) (hors centre commercial)
3; SOINS
3,31;Soins médicaux ou personnels (m.decin, coiffeur...)
4;Démarches
4,41;D.marche administrative, recherche d'informations
5; VISITES
5,51;Visite à des parents
5,52;Visite à des amis
6;ACCOMPAGNER OU ALLER CHERCHER
6,61;Accompagner quelqu'un à la gare, à l'aéroport, à une station de métro, de bus, de car
6,62;Accompagner quelqu'un à un autre endroit
6,63;Aller chercher quelqu'un à la gare, à l'aeroport, à une station de métro, de bus, de car
6,64;Aller chercher quelqu'un . un autre endroit
7; LOISIRS
7,71;Activit. associative, cérèmonie religieuse, réunion
7,72;Aller dans un centre de loisirs, parc d'attraction, foire
7,73;Manger ou boire à l'extérieur du domicile
7,74;Visiter un monument ou un site historique
7,75;Voir un spectacle culturel ou sportif (cin.ma, théâtre, concert, cirque, match)
7,76;Faire du sport
7,77;Se promener sans destination précise
7,78;Se rendre sur un lieu de promenade
8;" VACANCES, CHANGER DE R.SIDENCE ET "" AUTRES MOTIFS PRIV.S """
8,8;Vacances hors résidence secondaire
8,81;Se rendre dans une résidence secondaire
8,82;Se rendre dans une résidence occasionnelle
8,89;Autres motifs personnels
9;MOTIFS PROFESSIONNELS
9,91;Travailler dans son lieu fixe et habituel
9,92;Travailler en dehors d'un lieu fixe et habituel, sauf tourn.e (chantier, contacts professionnels,
9,93;réunions, visite à des clients ou fournisseurs, repas d'affaires...)
9,94;Stage, conf.rence, congrés, formations, exposition
9,95;Tourn.es professionnelles (VRP) ou visites de patients
9,96;Autres motifs professionnels
